id,label,cLabelIdx,cCntryCode,cLCControlNumber,UpName
286,Palo Alto,PALO ALTO,,,PALO ALTO
287,Criss Cross,CRISS CROSS,,,CRISS CROSS
288,Storyville,STORYVILLE,,,STORYVILLE
289,Supraphon,SUPRAPHON,,,SUPRAPHON
290,Gazell,GAZELL,,,GAZELL
291,Vara Jazz,VARA JAZZ,,,VARA JAZZ
292,TCB Records,TCB RECORDS,,,TCB RECORDS
293,Reservoir,RESERVOIR,,,RESERVOIR
294,Ring,RING,,,RING
295,VGS,VGS,,,VGS
296,Zen,ZEN,,,ZEN
297,Uptown,UPTOWN,,,UPTOWN
298,Koala,KOALA,,,KOALA
299,Denon,DENON,,,DENON
300,Pathe,PATHE,,,PATHE
301,Carosello,CAROSELLO,It,,CAROSELLO
302,I Giganti Del Jazz,I GIGANTI DEL JAZZ,It.,,I GIGANTI DEL JAZZ
303,Barclay,BARCLAY,,,BARCLAY
304,Major Minor,MAJOR MINOR,,,MAJOR MINOR
305,Gateway,GATEWAY,,,GATEWAY
306,BVHAAST,BVHAAST,,,BVHAAST
307,Jeru,JERU,,,JERU
308,Xanadu,XANADU,,,XANADU
309,Gramavision,GRAMAVISION,,,GRAMAVISION
310,Nocturne,NOCTURNE,Fr.,,NOCTURNE
311,Enterprise,ENTERPRISE,,,ENTERPRISE
312,Arabesque,ARABESQUE,,,ARABESQUE
313,Mapleshade,MAPLESHADE,,,MAPLESHADE
314,C. Macey Productions,C MACEY PRODUCTIONS,,,C. MACEY PRODUCTIONS
315,Cexton,CEXTON,,,CEXTON
316,[private recording],PRIVATE RECORDING,,,[PRIVATE RECORDING]
317,East Coasting,EAST COASTING,,,EAST COASTING
318,Ozone,OZONE,,,OZONE
319,Excelsior,EXCELSIOR,,,EXCELSIOR
320,Sounds Of Swing,SOUNDS OF SWING,,,SOUNDS OF SWING
321,Music Room Special,MUSIC ROOM SPECIAL,,,MUSIC ROOM SPECIAL
322,Temponic,TEMPONIC,,,TEMPONIC
323,Red,RED,,,RED
324,Candid,CANDID,,,CANDID
325,Philology,PHILOLOGY,,,PHILOLOGY
326,Label M,LABEL M,,,LABEL M
327,Prevue,PREVUE,,,PREVUE
328,East Wind,EAST WIND,,,EAST WIND
329,Landmark,LANDMARK,,,LANDMARK
330,RTE,RTE,,,RTE
331,Limetree,LIMETREE,,,LIMETREE
332,Baystate,BAYSTATE,,,BAYSTATE
333,Capri,CAPRI,,,CAPRI
334,Black-Hawk,BLACK-HAWK,,,BLACK-HAWK
335,Jazz America Marketing,JAZZ AMERICA MARKETING,,,JAZZ AMERICA MARKETING
336,Wolf Records,WOLF RECORDS,,,WOLF RECORDS
337,Why Not,WHY NOT,,,WHY NOT
338,Red Baron,RED BARON,,,RED BARON
339,Eagle Jazz,EAGLE JAZZ,,,EAGLE JAZZ
340,Naxos Jazz,NAXOS JAZZ,,,NAXOS JAZZ
341,FDC,FDC,It.,,FDC
342,Soul Note,SOUL NOTE,It,,SOUL NOTE
343,Black Saint,BLACK SAINT,It,,BLACK SAINT
344,Cobblestone,COBBLESTONE,,,COBBLESTONE
345,Joken,JOKEN,,,JOKEN
346,Freedom,FREEDOM,,,FREEDOM
347,Buddah,BUDDAH,,,BUDDAH
348,Cadet,CADET,,,CADET
349,Limelight,LIMELIGHT,,,LIMELIGHT
350,byg,BYG,Fr,,BYG
351,Vanguard,VANGUARD,,,VANGUARD
352,Jazz Door,JAZZ DOOR,,,JAZZ DOOR
353,CEI Records,CEI RECORDS,,,CEI RECORDS
354,Timeless,TIMELESS,,,TIMELESS
355,Justice,JUSTICE,,,JUSTICE
356,Jazzheads,JAZZHEADS,,,JAZZHEADS
357,Mainstream,MAINSTREAM,,,MAINSTREAM
358,Space Time,SPACE TIME,,,SPACE TIME
359,UBX,UBX,,,UBX
360,Vertical Jazz,VERTICAL JAZZ,,,VERTICAL JAZZ
361,1201 Music,1201 MUSIC,,,1201 MUSIC
362,Venus,VENUS,Jap.,,VENUS
363,Sonora,SONORA,,,SONORA
364,Mobile Fidelity,MOBILE FIDELITY,,,MOBILE FIDELITY
365,Dauntless,DAUNTLESS,,,DAUNTLESS
366,N-Coded Music,N-CODED MUSIC,,,N-CODED MUSIC
367,JazzMania,JAZZMANIA,,,JAZZMANIA
368,AudioQuest,AUDIOQUEST,,,AUDIOQUEST
369,Europa Jazz,EUROPA JAZZ,,,EUROPA JAZZ
370,Hannibal,HANNIBAL,,,HANNIBAL
371,Nerus,NERUS,,,NERUS
372,Wave,WAVE,,,WAVE
373,Sunnyside,SUNNYSIDE,,,SUNNYSIDE
374,SteepleChase,STEEPLECHASE,,,STEEPLECHASE
375,India Navigation,INDIA NAVIGATION,,,INDIA NAVIGATION
376,Interplay,INTERPLAY,,,INTERPLAY
377,New Note,NEW NOTE,,,NEW NOTE
378,CBS/Sony,CBS/SONY,Jap.,,CBS/SONY
379,Taylor-Made,TAYLOR-MADE,,,TAYLOR-MADE
380,PHo,PHO,,,PHO
381,Bingow,BINGOW,,,BINGOW
382,Amplitude,AMPLITUDE,,,AMPLITUDE
383,Janus,JANUS,,,JANUS
384,Inspire Productions,INSPIRE PRODUCTIONS,,,INSPIRE PRODUCTIONS
385,Beam International,BEAM INTERNATIONAL,,,BEAM INTERNATIONAL
386,Jazz Road,JAZZ ROAD,,,JAZZ ROAD
387,Essential,ESSENTIAL,,,ESSENTIAL
388,Spirit Nectar,SPIRIT NECTAR,,,SPIRIT NECTAR
389,East World,EAST WORLD,,,EAST WORLD
390,The Jazz Alliance,JAZZ ALLIANCE,,,THE JAZZ ALLIANCE
391,Sound Hills,SOUND HILLS,,,SOUND HILLS
392,Konnex,KONNEX,,,KONNEX
393,Jazzand,JAZZAND,,,JAZZAND
394,IRS,IRS,,,IRS
395,Free Lance,FREE LANCE,,,FREE LANCE
396,Groovin' High,GROOVIN HIGH,,,GROOVIN' HIGH
397,Your Record,YOUR RECORD,,,YOUR RECORD
398,GM,GM,,,GM
399,GRP/Impulse!,GRP/IMPULSE,,,GRP/IMPULSE!
400,Jazzland,JAZZLAND,,,JAZZLAND
401,Arkimu,ARKIMU,,,ARKIMU
402,Jump Street,JUMP STREET,,,JUMP STREET
403,MCA/Impulse!,MCA/IMPULSE,,,MCA/IMPULSE!
404,ESP-Disk,ESP-DISK,,,ESP-DISK
405,DIW,DIW,,,DIW
406,Jihad,JIHAD,,,JIHAD
407,Emanem,EMANEM,,,EMANEM
408,hat ART,HAT ART,,,HAT ART
409,Jazz Connoisseur,JAZZ CONNOISSEUR,,,JAZZ CONNOISSEUR
410,Landscape,LANDSCAPE,,,LANDSCAPE
411,Sesac,SESAC,,,SESAC
412,Royal Jazz,ROYAL JAZZ,,,ROYAL JAZZ
413,World Pacific,WORLD PACIFIC,,,WORLD PACIFIC
414,Moon,MOON,,,MOON
415,Osmosis,OSMOSIS,,,OSMOSIS
416,Playboy,PLAYBOY,,,PLAYBOY
417,Seeco,SEECO,,,SEECO
418,Carlton,CARLTON,,,CARLTON
419,Perfect,PERFECT,,,PERFECT
420,Phontastic,PHONTASTIC,,,PHONTASTIC
421,[television broadcast],TELEVISION BROADCAST,,,[TELEVISION BROADCAST]
422,Kings Of Jazz,KINGS OF JAZZ,,,KINGS OF JAZZ
423,Jazz Records,JAZZ RECORDS,,,JAZZ RECORDS
424,Park,PARK,,,PARK
425,Tempi di Jazz,TEMPI DI JAZZ,,,TEMPI DI JAZZ
426,Jazzman,JAZZMAN,,,JAZZMAN
427,Panorama,PANORAMA,,,PANORAMA
428,Jazz Kings,JAZZ KINGS,,,JAZZ KINGS
429,Urania,URANIA,,,URANIA
430,Giants Of Jazz,GIANTS OF JAZZ,,,GIANTS OF JAZZ
431,Ingo,INGO,,,INGO
432,Bird Notes,BIRD NOTES,,,BIRD NOTES
433,Jazz Anthology,JAZZ ANTHOLOGY,,,JAZZ ANTHOLOGY
